Indicator,Index,values,Year
SDG2-1,3,107.4705981,2024
SDG8-1,3,104,2024
SDG8-2,3,102.8243268,2024
SDG9-1,3,112.8181951,2024
SDG9-2,3,111.8257823,2024
SDG9-4,3,101.8680774,2024
SDG9-5,3,100.5935827,2024
SDG9-6,3,103.6048542,2024
SDG10-1,3,99.76094278,2024
SDG11-1,3,99.89220913,2024
SDG12-1,3,101.6358642,2024
SDG12-2,3,99.41770712,2024
SDG13-1,3,98.85827885,2024
SDG17-1,3,100.8422247,2024
SDG17-2,3,100.3062508,2024
SDG17-3,3,104.9377592,2024
SDG17-6,3,100.1143068,2024
SDG17-7,3,99.32526172,2024
SDG2-1,4,106.2215699,2024
SDG8-1,4,97.2,2024
SDG8-2,4,107.2272569,2024
SDG9-1,4,115.3361288,2024
SDG9-2,4,111.9992809,2024
SDG9-4,4,107.5497575,2024
SDG9-5,4,100.7183931,2024
SDG9-6,4,110.0935725,2024
SDG10-1,4,103.5127054,2024
SDG11-1,4,101.5302247,2024
SDG12-1,4,104.3737228,2024
SDG12-2,4,98.37269109,2024
SDG13-1,4,92.89399155,2024
SDG17-1,4,102.8052803,2024
SDG17-2,4,101.49856,2024
SDG17-3,4,106.6440642,2024
SDG17-6,4,101.6990991,2024
SDG17-7,4,107.7302181,2024
